252,,,
kubali,pokea,,
faulu,fanikisha,,
ruhusu,,,
athiri,,,
kuweza,,,
kukubali,,,
kuruhusu,,,
kujibu,,,
kupaka,kuomba,,
kubishana,,,
kupanga,,,
kufika,kuwasili,,
kuuliza,,,
kuepuka,,,
kuwa,,,
kuanza,,,
kuamini,,,
kujenga,,,
kununua,,,
kupiga simu,kuita,,
kujali,,,
kubeba,,,
shika,,,
sababisha,fanya,,
kubadilisha,,,
kukagua,,,
kuchaguwa,,,
kuondoa,wazi,,
kusafisha,,,
kuokota,kukusanya,kurokota,
kuja,,,
kulalamika,,,
kumaliza,kukamilisha,,
kujumuisha,,,
,,,
kuendelea,kufululiza,,
kuchanga,kuchangia,,
kudhibiti,,,
kurekebisha,,,
bei,gharama,kugharimu,
weza,,,
kuunda,kuumba,kufanya-,
kuvuka,,,
kukata,,,
kuharibu,,,
kukabiliana,kushughulikia,,
kupeleka,timiza ahadi,,
kukana,,,
kutegemea,,,
kueleza,,,
kuharibu,,,
kutengeneza,,,
kupotea,,,
kugundua,,,
kufanya,,,
kuvaa. ,,,
kunywa,,,
kuendesha,,,
kukula,,,
kuhimiza,,,
kufurahia,,,
kuwa,,,
kutarajia,,,
uzoefu,kupata ,,
kueleza,,,
kueleza.,,,
uso,kukabiliana na-,,
kuanguka,,,
kuhisi,,,
kutafuta,,,
kumaliza,,,
Nzi,kuruka ,,
kufuata ,,,
kusahau,,,
kusamehe,,,
kuunda,Fomu,kidato,
kupata,,,
kupatiana,kutoa,,
,,,
kuza,,,
kutokea,,,
kuwa na,,,
kusikia,,,
kusaidia,,,
kuficha,kujificha,,
kushikilia,,,
matumaini,,,
fikiria,,,
kuboresha,,,
kuongeza,,,
ushawishi,,,
kumwambia,,,
kualika,,,
kuhusisha,,,
kuunganisha,kuunga,,
kuweka,,,
kujua,,,
mwisho,kudumu,,
kucheka,,,
kujifunza,,,
kuacha,,,
kukopesha,,,
kupenda,,,
kuweka kikomo,,,
kusikiliza,,,
kuishi,,,
angalia,,,
kupenda,,,
kutengeneza,,,
haijalishi,,,
kumaanisha,,,
kupima,kipimo,,
kukutana,kupatikana,,
kutaja,,,
kuyjali,kuzingatia,akili,kutia akilini
songa,songesha,,
lazima,,,
haja,umuhimu,,
kumpa,ofa,,
kufungua,,,
kuagiza,kuamrisha,,
kumiliki,,,
kulipa,,,
kufanya kazi,kufanya vizuri,,
kucheza,,,
kuelekeza kwa kidole,,,
kupendelea,,,
kutayarisha,,,
kubonyeza,,,
kuzuia,,,
kuzaa,mazao,kutoa,
kulinda,,,
kutoa,kupatiana,,
kusukuma,,,
kufika,,,
kusoma,,,
kupata,kupokea,,
kurekodi,,,
kupunguza,,,
heshima. ,,,
kuhusisha,,,
kuachilia,,,
kukumbuka,,,
kutoa,,,
kurudia,,,
kubadilisha,,,
kujibu,,,
piga ripoti,,,
matokeo,,,
kurudisha,,,
kuonyesha,,,
kupanda,,,
kukimbia,,,
kuokoa.,,,
kusema,,,
kuona,,,
kuuza,,,
kutuma,,,
kuweka,,,
kugawa,hisa,,
piga risasi,mshale,,
kuonyesha,,,
kuimba,,,
kukaa,,,
kulala,,,
,,,
kutabasamu,,,
kuchemua,,,
sauti,,,
kuzungumza,,,
kusimama,,,
kuanza,,,
kusema,,,
kusoma,,,
kufaulu,,,
kupendekeza,kutoa maoni,,
kusambaza,,,
,,,
kunusurika,,,
kufagia,,,
kuchukua,,,
kuzungumza,,,
kuambia,,,
kuangalia,huwa,,
kufikiria,,,
kutupa,,,
kuguza,kushika,,
kufundisha,,,
kusafiri,,,
kutibu,,,
kujaribu,,,
kugeuza,,,
kuelewa,,,
kutumia,,,
kutembelea,,,
kusubiri,,,
kutaka,,,
kutembea,,,
kutazama,,,
kushinda,,,
kujiuliza,kusindwa,,
kuandika,,,
kukanda,,,
,,,
kukaanga,,,
kukanda,,,
kupiga pasi,chuma,,
